,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,softmaxBeta2.5_2,5,4,5,10,13,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(13, 7), [12, 7], [11, 7], [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [6, 8], [6, 9], [6, 10], [5, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (0, 1), (-1, 0)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]",0,6,8,270
1,softmaxBeta2.5_2,4,8,10,8,7,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 1), [7, 2], [7, 3], [7, 4], [7, 5], [8, 5], [9, 5], [10, 5], [10, 6], [10, 7], [11, 7], [10, 7], [10, 8]]","[(0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (0, 1), (1, 0), (-1, 0), (0, 1)]","[10, 5]","[0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0, 0]",2,6,7,180
2,softmaxBeta2.5_2,13,3,13,11,6,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(6, 7), [7, 7], [8, 7], [9, 7], [9, 6], [9, 5], [10, 5], [10, 4], [11, 4], [12, 4], [13, 4], [14, 4], [13, 4], [13, 3]]","[(1, 0), (1, 0), (1, 0), (0, -1), (0, -1), (1, 0), (0, -1), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (0, -1)]",[11],"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1]",1,8,7,90
3,softmaxBeta2.5_2,4,14,10,14,7,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 8), [7, 9], [8, 9], [9, 9], [9, 10], [9, 11], [9, 12], [9, 13], [10, 13], [10, 14]]","[(0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (0, 1)]",[],"[0, 2, 2, 0, 0, 0, 0, 2, 0]",0,6,6,180
4,softmaxBeta2.5_2,5,4,9,4,7,10,"[0, 0, 0, 0, 0, 0, 0, 0]","[(7, 10), [7, 9], [7, 8], [7, 7], [8, 7], [9, 7], [9, 6], [9, 5], [9, 4]]","[(0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (0, -1), (0, -1), (0, -1)]",[5],"[0, 0, 0, 2, 0, 0, 0, 0]",1,4,6,0
5,softmaxBeta2.5_2,9,5,9,9,1,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(1, 7), [2, 7], [2, 8], [3, 8], [4, 8], [5, 8], [6, 8], [7, 8], [8, 8], [9, 8], [10, 8], [9, 8], [9, 9]]","[(1, 0), (0, 1), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (-1, 0), (0, 1)]","[10, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2]",2,4,8,90
6,softmaxBeta2.5_2,5,3,9,3,7,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 10), [8, 10], [8, 9], [8, 8], [8, 7], [8, 6], [8, 5], [8, 4], [9, 4], [8, 4], [9, 4], [9, 3]]","[(1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (-1, 0), (1, 0), (0, -1)]","[9, 1]","[0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 0]",2,4,7,0
7,softmaxBeta2.5_2,3,13,11,13,7,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 7), [7, 8], [7, 9], [7, 10], [8, 10], [8, 11], [8, 12], [9, 12], [9, 13], [10, 13], [11, 13]]","[(0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (1, 0)]",[],"[0, 0, 0, 2, 0, 0, 2, 0, 2, 2]",0,8,6,180
8,softmaxBeta2.5_2,4,3,4,11,12,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(12, 7), [12, 8], [11, 8], [10, 8], [11, 8], [10, 8], [10, 9], [10, 10], [9, 10], [8, 10], [7, 10], [6, 10], [5, 10], [4, 10], [4, 11]]","[(0, 1), (-1, 0), (-1, 0), (1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1)]",[4],"[2, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 2]",1,8,8,270
9,softmaxBeta2.5_2,3,1,11,1,7,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 8), [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [7, 2], [7, 1], [6, 1], [5, 1], [4, 1], [3, 1]]","[(0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (-1, 0), (-1, 0), (-1, 0)]",[8],"[0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 1]",special,8,7,0
