,name,bean1GridX,bean1GridY,bean2GridX,bean2GridY,playerGridX,playerGridY,reactionTime,trajectory,aimAction,noisePoint,goal,noiseNumber,bottom,height,direction
0,softmaxBeta2.5_47,1,3,1,11,7,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 7), [6, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [2, 7], [2, 6], [2, 5], [2, 4], [2, 3], [1, 3]]","[(-1, 0), (1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0)]","[7, 2]","[0, 0, 0, 0, 0, 0, 2, 1, 1, 1, 1, 0]",2,8,6,270
1,softmaxBeta2.5_47,13,4,13,10,6,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(6, 7), [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [11, 8], [10, 8], [11, 8], [11, 9], [12, 9], [13, 9], [13, 10]]","[(1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (-1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (0, 1)]",[7],"[0, 0, 0, 0, 2, 0, 0, 0, 2, 0, 0, 2]",1,6,7,90
2,softmaxBeta2.5_47,9,3,9,11,2,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(2, 7), [3, 7], [4, 7], [4, 8], [4, 9], [4, 10], [5, 10], [6, 10], [6, 11], [7, 11], [8, 11], [9, 11]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (1, 0), (1, 0), (1, 0)]",[],"[0, 0, 2, 2, 2, 0, 0, 2, 0, 0, 0]",0,8,7,90
3,softmaxBeta2.5_47,7,5,7,9,0,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(0, 7), [1, 7], [0, 7], [1, 7], [2, 7], [3, 7], [4, 7], [5, 7], [5, 6], [6, 6], [6, 5], [7, 5]]","[(1, 0), (-1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0), (0, -1), (1, 0)]",[2],"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1,4,7,90
4,softmaxBeta2.5_47,12,5,12,9,4,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(4, 7), [5, 7], [6, 7], [7, 7], [8, 7], [9, 7], [10, 7], [10, 8], [11, 8], [11, 9], [12, 9]]","[(1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0)]",[9],"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",1,4,8,90
5,softmaxBeta2.5_47,3,2,11,2,7,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 10), [7, 9], [7, 8], [7, 7], [7, 8], [7, 7], [7, 6], [7, 5], [7, 4], [7, 3], [8, 3], [9, 3], [10, 3], [10, 2], [11, 2]]","[(0, -1), (0, -1), (0, -1), (0, 1), (0, -1), (0, -1), (0, -1), (0, -1), (0, -1), (1, 0), (1, 0), (1, 0), (0, -1), (1, 0)]",[4],"[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 2]",1,8,8,0
6,softmaxBeta2.5_47,2,4,2,10,10,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(10, 7), [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [4, 7], [3, 7], [3, 8], [3, 9], [2, 9], [2, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1)]",[],"[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2]",0,6,8,270
7,softmaxBeta2.5_47,1,5,1,9,7,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 7), [6, 7], [6, 6], [5, 6], [4, 6], [4, 7], [3, 7], [3, 8], [2, 8], [1, 8], [1, 9]]","[(-1, 0), (0, -1), (-1, 0), (-1, 0), (0, 1), (-1, 0), (0, 1), (-1, 0), (-1, 0), (0, 1)]",[5],"[0, 1, 0, 0, 0, 0, 2, 0, 0, 2]",1,4,6,270
8,softmaxBeta2.5_47,4,7,10,7,7,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(7, 1), [7, 2], [7, 3], [7, 4], [8, 4], [8, 5], [9, 5], [9, 6], [10, 6], [10, 5], [10, 6], [10, 7]]","[(0, 1), (0, 1), (0, 1), (1, 0), (0, 1), (1, 0), (0, 1), (1, 0), (0, -1), (0, 1), (0, 1)]","[9, 8]","[0, 0, 0, 2, 0, 2, 0, 0, 0, 0, 0]",2,6,6,180
9,softmaxBeta2.5_47,4,4,4,10,11,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[(11, 7), [10, 7], [9, 7], [8, 7], [7, 7], [6, 7], [5, 7], [5, 6], [5, 5], [4, 5], [4, 4]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (0, -1), (-1, 0), (0, -1)]",[7],"[0, 0, 0, 0, 0, 0, 2, 1, 0, 1]",special,6,7,270
