,name,reactionTime,trajectory,aimAction,aimPlayerGridList,noisePoint,goal,conditionName,decisionSteps,targetDiff,avoidCommitPoint,crossPoint,obstacles,noiseNumber,playerGrid,target1,target2
0,noise0.0667_softmaxBeta2.5_14,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3]","[(14, 2), [13, 2], [12, 2], [11, 2], [11, 3], [11, 4], [10, 4], [10, 5], [11, 4], [10, 4], [10, 5], [10, 6], [10, 7], [10, 8], [10, 9], [10, 10]]","[(-1, 0), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1), (0, 1)]","[(13, 2), (12, 2), (11, 2), (11, 3), (11, 4), (10, 4), (10, 5), (10, 6), (10, 4), (10, 5), (10, 6), (10, 7), (10, 8), (10, 9), (10, 10)]",[8],"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1]",expCondition2,0,1,"(13, 2)","(10, 4)","[(13, 1), (11, 1), (13, 3), (10, 1), (13, 4), (14, 13), (8, 1), (2, 4), (13, 0), (7, 10), (9, 8), (3, 7), (13, 13), (10, 0), (9, 1), (4, 11), (5, 0), (3, 10)]",1,"(14, 2)","(10, 10)","(3, 4)"
1,noise0.0667_softmaxBeta2.5_14,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3]","[(0, 0), [1, 0], [2, 0], [2, 1], [2, 2], [2, 3], [2, 4], [3, 4], [4, 4], [4, 5], [4, 6], [4, 7], [4, 8]]","[(1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1), (1, 0), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[(1, 0), (2, 0), (2, 1), (2, 2), (2, 3), (2, 4), (3, 4), (4, 4), (4, 5), (4, 6), (4, 7), (4, 8)]",[],"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]",expCondition2,2,2,"(2, 2)","(4, 4)","[(1, 1), (1, 3), (3, 1), (1, 4), (4, 1), (7, 13), (13, 4), (5, 13), (0, 11), (1, 13), (13, 10), (7, 10), (7, 6), (10, 11), (13, 6), (10, 10), (0, 13), (11, 4)]",0,"(0, 0)","(10, 4)","(4, 8)"
2,noise0.0667_softmaxBeta2.5_14,"[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3]","[(14, 14), [13, 14], [12, 14], [12, 13], [12, 12], [12, 11], [12, 10], [12, 10], [11, 10], [10, 10], [9, 10], [8, 10], [8, 9], [7, 9], [6, 9], [5, 9], [5, 8], [4, 8], [3, 8]]","[(-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0)]","[(13, 14), (12, 14), (12, 13), (12, 12), (12, 11), (12, 10), (11, 10), (11, 10), (10, 10), (9, 10), (8, 10), (8, 9), (7, 9), (7, 8), (5, 9), (5, 8), (4, 8), (3, 8)]","[7, 14]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1]",expCondition2,6,1,"(10, 10)","(8, 8)","[(11, 11), (10, 14), (11, 13), (11, 9), (9, 11), (13, 11), (14, 10), (11, 8), (8, 11), (5, 2), (6, 1), (7, 6), (5, 7), (5, 1), (3, 6), (4, 2), (2, 8), (1, 2)]",2,"(14, 14)","(3, 8)","(8, 2)"
3,noise0.0667_softmaxBeta2.5_14,"[0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3]","[(14, 14), [14, 13], [13, 13], [12, 13], [11, 13], [11, 12], [11, 11], [11, 10], [11, 9], [11, 8], [10, 8], [11, 8], [10, 8], [10, 7], [10, 6], [10, 5], [10, 4]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1), (-1, 0), (0, -1), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(14, 13), (13, 13), (12, 13), (11, 13), (10, 13), (11, 11), (11, 10), (11, 9), (11, 8), (10, 8), (10, 7), (10, 8), (10, 7), (10, 6), (10, 5), (10, 4)]","[5, 11]","[0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 2, 0, 2, 2, 2, 2]",expCondition1,4,0,"(11, 11)","(10, 10)","[(12, 12), (12, 14), (12, 10), (14, 12), (10, 12), (7, 5), (7, 2), (10, 2), (9, 3), (1, 10), (4, 8), (6, 8), (2, 9), (2, 14), (7, 3), (3, 6), (2, 2), (1, 13)]",2,"(14, 14)","(4, 10)","(10, 4)"
4,noise0.0667_softmaxBeta2.5_14,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3]","[(14, 14), [14, 13], [13, 13], [12, 13], [11, 13], [10, 13], [9, 13], [8, 13], [7, 12], [7, 13], [6, 13], [5, 13], [4, 13], [4, 14]]","[(0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0), (-1, 0), (-1, 0), (0, 1)]","[(14, 13), (13, 13), (12, 13), (11, 13), (10, 13), (9, 13), (8, 13), (7, 13), (7, 13), (6, 13), (5, 13), (4, 13), (4, 14)]",[8],"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",expCondition2,4,controlAvoid,"(14, 14)","(14, 14)","[(12, 12), (12, 14), (12, 10), (14, 12), (10, 12), (12, 9), (9, 12), (1, 10), (3, 8), (14, 2), (7, 5), (4, 1), (1, 14), (4, 3), (8, 1), (3, 7), (7, 3), (7, 4)]",1,"(14, 14)","(4, 14)","(14, 4)"
5,noise0.0667_softmaxBeta2.5_14,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2]","[(14, 14), [14, 13], [14, 12], [13, 12], [12, 12], [11, 12], [10, 12], [9, 12], [8, 12], [8, 11], [7, 11]]","[(0, -1), (0, -1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]","[(14, 13), (14, 12), (13, 12), (12, 12), (11, 12), (10, 12), (9, 12), (8, 12), (8, 11), (7, 11)]",[],"[0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",expCondition1,2,1,"(12, 12)","(11, 11)","[(13, 13), (13, 11), (11, 13), (1, 11), (8, 9), (6, 7), (9, 7), (8, 5), (4, 3), (5, 2), (4, 9), (2, 1), (10, 6), (1, 6), (9, 2), (11, 2), (4, 5), (3, 1)]",0,"(14, 14)","(7, 11)","(11, 6)"
6,noise0.0667_softmaxBeta2.5_14,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3]","[(6, 1), [6, 1], [6, 2], [5, 2], [4, 2], [4, 3], [4, 4], [3, 4], [3, 5], [3, 6], [4, 7], [3, 7], [2, 7], [1, 7], [1, 8], [0, 8]]","[(0, 1), (0, 1), (-1, 0), (-1, 0), (0, 1), (0, 1), (-1, 0), (0, 1), (0, 1), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, 1), (-1, 0)]","[(6, 2), (6, 2), (5, 2), (4, 2), (4, 3), (4, 4), (3, 4), (3, 5), (3, 6), (2, 6), (3, 7), (2, 7), (1, 7), (1, 8), (0, 8)]","[1, 10]","[0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]",randomCondition,0,0,"(14, 14)","(14, 14)","[(5, 5), (1, 12), (8, 13), (3, 8), (11, 0), (7, 0), (11, 5), (8, 1), (5, 0), (4, 6), (6, 7), (11, 4), (10, 3), (6, 14), (14, 6), (1, 9), (7, 2), (9, 5)]",2,"(6, 1)","(0, 8)","(10, 10)"
7,noise0.0667_softmaxBeta2.5_14,"[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2]","[(0, 1), [0, 2], [1, 2], [2, 2], [3, 2], [3, 3], [2, 4], [2, 5], [2, 6], [3, 6], [3, 7], [3, 8], [3, 9], [3, 10]]","[(0, 1), (1, 0), (1, 0), (1, 0), (0, 1), (1, 0), (0, 1), (0, 1), (1, 0), (0, 1), (0, 1), (0, 1), (0, 1)]","[(0, 2), (1, 2), (2, 2), (3, 2), (3, 3), (4, 3), (2, 5), (2, 6), (3, 6), (3, 7), (3, 8), (3, 9), (3, 10)]",[6],"[0, 0, 0, 0, 0, 1, 2, 2, 0, 2, 2, 2, 2]",expCondition1,1,2,"(1, 2)","(3, 3)","[(1, 1), (1, 3), (3, 1), (10, 2), (6, 11), (0, 12), (8, 10), (6, 9), (2, 13), (6, 7), (13, 4), (10, 8), (2, 0), (2, 12), (12, 8), (4, 9), (8, 11), (7, 8)]",1,"(0, 1)","(8, 3)","(3, 10)"
8,noise0.0667_softmaxBeta2.5_14,"[0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2]","[(12, 14), [11, 14], [10, 14], [9, 14], [8, 14], [7, 14], [6, 14], [5, 14], [4, 14], [4, 13], [4, 12], [4, 11], [4, 10]]","[(-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (-1, 0), (0, -1), (0, -1), (0, -1), (0, -1)]","[(11, 14), (10, 14), (9, 14), (8, 14), (7, 14), (6, 14), (5, 14), (4, 14), (4, 13), (4, 12), (4, 11), (4, 10)]",[],"[0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]",expCondition2,0,1,"(12, 13)","(10, 10)","[(13, 13), (13, 11), (11, 13), (13, 10), (10, 13), (8, 9), (4, 2), (14, 3), (1, 10), (7, 6), (13, 14), (6, 3), (13, 13), (2, 10), (13, 7), (8, 2), (4, 6), (1, 6)]",0,"(12, 14)","(4, 10)","(10, 3)"
9,noise0.0667_softmaxBeta2.5_14,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3]","[(13, 14), [12, 14], [11, 14], [10, 14], [10, 13], [9, 13], [9, 12], [8, 12], [7, 12], [6, 12], [6, 11], [5, 11]]","[(-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0), (0, -1), (-1, 0), (-1, 0), (-1, 0), (0, -1), (-1, 0)]","[(12, 14), (11, 14), (10, 14), (10, 13), (9, 13), (9, 12), (8, 12), (7, 12), (6, 12), (6, 11), (5, 11)]",[2],"[0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1]",expCondition1,1,1,"(12, 13)","(11, 11)","[(13, 13), (13, 11), (11, 13), (5, 9), (8, 3), (2, 2), (13, 3), (5, 4), (4, 7), (2, 3), (4, 4), (6, 3), (6, 2), (1, 2), (6, 10), (4, 14), (8, 7), (12, 1)]",1,"(13, 14)","(5, 11)","(11, 4)"
